,Powell,Fontenelle,Flaming Gorge,BlueMesa,MorrowPoint,Crystal ,TaylorPark ,Vallecito,Navajo (Mod),Animas at Durango,GJ Local,Yampa Maybell Plus Lily
October,313,36,38,29,30,34,5,8,20,14,66,21
November,396,36,43,27,30,33,4,6,27,14,45,28
December,316,32,32,24,26,30,4,5,26,13,35,25
January,313,28,40,23,25,29,4,5,27,12,30,25
February,345,27,44,22,24,27,4,5,26,11,26,26
March,514,41,66,33,36,39,4,6,49,13,34,57
April,526,60,83,52,58,66,7,16,78,30,53,137
May,1103,78,104,120,131,146,20,45,133,91,87,331
June,829,116,127,89,94,103,18,21,28,57,38,127
July,88,55,57,36,36,38,6,8,-2,17,18,-6
August,76,31,27,31,33,36,6,9,-15,18,33,4
September,168,28,27,23,25,27,5,8,-3,14,55,3
